Demo,CanonicalName,SourceFolder,SourceFile,Confidence,Status
L,07_realtime_pricing_settings_beta.png,Visability into Purchased Components,download (10).png,high,placed
M,04_ungrouped_drag_drop_reorder.png,Power Lunch 19,download (1).png,high,placed
M,06_breadcrumb_sibling_dropdown.png,Power Lunch 19,download (3).png,high,placed
M,07_unique_url_child.png,Power Lunch 19,download (4).png,high,placed
M,09_thumbnail_hover_tooltip.png,Power Lunch 19,download (6).png,high,placed
M,14_flat_bom_warnings_suppliers.png,Power Lunch 19,download (11).png,high,placed
M,15_bulk_update_components_modal.png,Power Lunch 19,download (12).png,high,placed
M,17_copy_pricing_panel.png,Power Lunch 19,download (14).png,high,placed
N,01_title_no-cad-license.png,Geometry Viewer,Screenshot 9.58.54 PM.png,high,placed
N,02_milling_features_warnings.png,Geometry Viewer,Screenshot 9.58.58 PM.png,high,placed
N,03_milling_warnings_highlighted.png,Geometry Viewer,Screenshot 9.59.00 PM.png,high,placed
N,04_lathe_features_live-tooling.png,Geometry Viewer,Screenshot 9.59.05 PM.png,high,placed
N,05_lathe_bounding_box.png,Geometry Viewer,Screenshot 9.59.07 PM.png,high,placed
N,06_sheetmetal_bends_kfactor.png,Geometry Viewer,Screenshot 9.59.09 PM.png,high,placed
N,07_sheetmetal_unfolded_flatten.png,Geometry Viewer,Screenshot 9.59.12 PM.png,high,placed
N,08_wire-edm_features_warnings.png,Geometry Viewer,Screenshot 9.59.15 PM.png,high,placed
N,09_wire-edm_incompatible_faces.png,Geometry Viewer,Screenshot 9.59.17 PM.png,high,placed
N,10_additive_stl_orientation.png,Geometry Viewer,Screenshot 9.59.21 PM.png,high,placed
N,11_additive_reoriented.png,Geometry Viewer,Screenshot 9.59.24 PM.png,medium,placed
N,12_waterjet-laser_dxf_flat.png,Geometry Viewer,Screenshot 9.59.27 PM.png,high,placed
N,13_waterjet-laser_tight-corner.png,Geometry Viewer,Screenshot 9.59.29 PM.png,high,placed
A,03_paperless_parts_main_dashboard.png,YouTube a7GAEwIYjiU,t=8:26,high,placed
A,04_quote_detail_page_files_notes.png,YouTube a7GAEwIYjiU,t=11:05,high,placed
A,05_quote_account_context_expedite_pricing.png,YouTube a7GAEwIYjiU,t=9:36,high,placed
A,06_line_item_part_estimating_view.png,YouTube a7GAEwIYjiU,t=28:11,medium,placed (253000PPA)
A,07_bom_builder_hierarchical_parts.png,YouTube a7GAEwIYjiU,t=16:51,high,placed
A,8_sheet_metal_part_interrogation_operations.png,YouTube a7GAEwIYjiU,t=19:41,high,placed
A,09_pdf_drawing_viewer_ai_review_items.png,YouTube a7GAEwIYjiU,t=22:01,high,placed
A,10_multi_quantity_pricing_with_ai_review_flags.png,YouTube a7GAEwIYjiU,t=23:41,high,placed
A,11_sheet_metal_nesting_module_configuration.png,YouTube a7GAEwIYjiU,t=31:54,high,placed
A,12_nesting_overview_sheet_metal_components.png,YouTube a7GAEwIYjiU,t=31:40,high,placed
A,13_bulk_edit_components_assembly_bom_view.png,YouTube a7GAEwIYjiU,t=29:01,medium,placed (no bulk-edit modal shown)
A,14_costing_pricing_summary_multi_quantity.png,YouTube a7GAEwIYjiU,t=31:24,high,placed
A,15_quote_general_fields_workflow_status.png,YouTube a7GAEwIYjiU,t=32:22,high,placed
A,16_build_order.png,,,,unfilled (after 33-min window)
A,17_shipping_payment.png,,,,unfilled (after 33-min window)
C,01_quote_detail_part_setup.png,Desktop (recent),Screenshot 2026-06-12 at 10.17.02 PM.png,high,placed
C,02_print_viewer_partsetup_panel.png,Desktop (recent),Screenshot 2026-06-12 at 10.17.22 PM.png,high,placed
C,03_callout_popover.png,Desktop (recent),Screenshot 2026-06-12 at 10.17.26 PM.png,high,placed
C,04_whiteout_mode.png,Desktop (recent),Screenshot 2026-06-12 at 10.17.23 PM.png,medium,placed
C,05_add_missing_extraction_modal.png,,,,unfilled
C,06_create_rule_dialog_empty.png,Desktop (recent),Screenshot 2026-06-12 at 10.17.39 PM.png,medium,placed
C,07_create_rule_with_filter_and_resolution.png,Desktop (recent),Screenshot 2026-06-12 at 10.18.10 PM.png,high,placed
C,08_resolution_options_dropdown.png,Desktop (recent),Screenshot 2026-06-12 at 10.18.00 PM.png,high,placed
C,09_signal_selector_tree.png,Desktop (recent),Screenshot 2026-06-12 at 10.17.29 PM.png,high,placed
C,10_requirements_review_lineitem_panel.png,Desktop (recent),Screenshot 2026-06-12 at 10.18.48 PM.png,high,placed
C,11_quote_level_summary_view.png,,,,unfilled
C,12_lineitem_process_section.png,,,,unfilled
C,13_operations_router_pricing_table.png,,,,unfilled
B,01_dashboard_workflows_notifications.png,,,,unfilled (home dashboard not shown in demo)
B,02_quotes_list_sidebar_views.png,YouTube 2s9Iyb-b-ek,t=6:05,high,placed
B,03_quote_detail_workflow_tracker.png,YouTube 2s9Iyb-b-ek,t=7:00,high,placed
B,04_bulk_create_line_items_modal.png,YouTube 2s9Iyb-b-ek,t=10:00,high,placed
B,05_quote_line_items_file_structure.png,YouTube 2s9Iyb-b-ek,t=10:50,high,placed
B,06_review_items_auto_detected.png,YouTube 2s9Iyb-b-ek,t=26:39,high,placed
B,07_assembly_bom_child_bom.png,YouTube 2s9Iyb-b-ek,t=15:50,high,placed
B,08_line_item_part_detail_geometry_status.png,YouTube 2s9Iyb-b-ek,t=16:10,high,placed
B,09_part_library_match_categories.png,YouTube 2s9Iyb-b-ek,t=16:50,high,placed
B,10_cad_viewer_part_setup_panel.png,YouTube 2s9Iyb-b-ek,t=19:10,high,placed
B,11_cad_viewer_face_annotation_team_chat.png,YouTube 2s9Iyb-b-ek,t=20:50,high,placed
B,12_geometric_features_milling_analysis.png,YouTube 2s9Iyb-b-ek,t=21:30,high,placed
B,13_feature_highlighting_on_3d_model.png,YouTube 2s9Iyb-b-ek,t=23:40,high,placed
B,14_create_rule_dialog_with_pdf.png,YouTube 2s9Iyb-b-ek,t=25:40,high,placed
B,15_operations_costing_per_quantity.png,YouTube 2s9Iyb-b-ek,t=27:07,high,placed
B,16_costing_pricing_breakdown_margins.png,YouTube 2s9Iyb-b-ek,t=28:10,high,placed
B,17_addons_fai_lead_times.png,YouTube 2s9Iyb-b-ek,t=30:40,high,placed
B,18_addons_dropdown_options.png,YouTube 2s9Iyb-b-ek,t=30:19,high,placed
